date,type,registration,operator,fat.,location,url,phase,aircraft_damage,classification,narrative,nature,inv_agency,year
17-AUG-2015,Beech 99,N128SF,Hummingbird Air,0,Codrington A...,https://aviation-safety.net/database/record.php?id=20150817-0,Landing (LDG),Substantial,Runway excursion,"A Hummingbird Air Beech 99 Airliner operating as a flight from VC Bird International Airport in Antigua, experienced landing accident at Codrington Airport in Barbuda. The airplane sustained apparent substantial damage to the right wing and there were no reported injuries to the pilot and five passengers onboard.During the landing on runway 10 at Codrington, Barbuda the right main landing gear appears to have struck the edge of the paved surface at the threshold of the runway. This resulted in the collapse of that landing gear causing the right propeller to come into contact with the runway surface and the aircraft to veer off the right side of the runway approximately 280 meters from the threshold and coming to rest 29 meters from the runway centreline.17-08-2015",Domestic Non Scheduled Passenger,,2015
20-AUG-2015,Let L-410MA,OM-SAB,Dubnica Air,3,Cervený Kamen,https://aviation-safety.net/database/record.php?id=20150820-0,En route (ENR),Destroyed,Mid air collision Loss of control,"Two Let L-410 aircraft (registrations OM-SAB and OM-ODQ) crashed near Vratec, Slovakia, following a mid-air collision. Both aircraft were carrying two pilots 17 skydivers each for a practice jump in preparation for an upcoming air show. Planned altitude for the jump was 4000 m. OM-SAB was the lead plane, followed by OM-ODQ. While climbing through an altitude of 1300-1400 meters, OM-ODQ progressively became closer to the lead plane. Closer than the previously agreed distance of 100 m.At the same time the captain, and Pilot Flying, of OM-ODQ was recording video on his mobile phone. He held the phone in his left hand and the controls in his right hand.At an altitude of 1400-1500 meters a collision occurred. The right wing of the leading plane penetrated trailing plane's door and tore the whole tail off. The trailing plane then entered an unrecoverable flat spin. The tail compartment of trailing plane tore off leading plane's aileron and severely damaged its right horizontal stabilizer. The leading plane started falling in a 3-axis rotation.Most skydivers managed to parachute from the striken aircraft. Two pilots on board each plane and a total of three skydivers were killed. The parachute of one skydiver from the leading plane failed after he exited the aircraft. Two skydivers on the trailing plane were knocked unconscious  inside the plane during the violent maneuvers following the collision. Both aircraft came down in a wooded area.Cause of air accident (translated from Slovak)- the main cause of an airplane accident was inadequate aircraft management and failure to master piloting techniques by the OM-ODQ commander,- aircraft collision was the immediate cause of an airplane accident.Contributing factors- Mobile phone handling during aircraft piloting,- MTOW exceedance by OM-ODQ, reassessment of capabilities by OM-ODQ commander.20-08-2015",Parachuting,LNVU ,2015
20-AUG-2015,Let L-410UVP,OM-ODQ,Dubnica Air,4,Cervený Kamen,https://aviation-safety.net/database/record.php?id=20150820-1,En route (ENR),Destroyed,Mid air collision Loss of control,"Two Let L-410 aircraft (registrations OM-SAB and OM-ODQ) crashed near Vratec, Slovakia, following a mid-air collision. Both aircraft were carrying two pilots 17 skydivers each for a practice jump in preparation for an upcoming air show. Planned altitude for the jump was 4000 m. OM-SAB was the lead plane, followed by OM-ODQ. While climbing through an altitude of 1300-1400 meters, OM-ODQ progressively became closer to the lead plane. Closer than the previously agreed distance of 100 m.At the same time the captain, and Pilot Flying, of OM-ODQ was recording video on his mobile phone. He held the phone in his left hand and the controls in his right hand.At an altitude of 1400-1500 meters a collision occurred. The right wing of the leading plane penetrated trailing plane's door and tore the whole tail off. The trailing plane then entered an unrecoverable flat spin. The tail compartment of trailing plane tore off leading plane's aileron and severely damaged its right horizontal stabilizer. The leading plane started falling in a 3-axis rotation.Most skydivers managed to parachute from the striken aircraft. Two pilots on board each plane and a total of three skydivers were killed. The parachute of one skydiver from the leading plane failed after he exited the aircraft. Two skydivers on the trailing plane were knocked unconscious  inside the plane during the violent maneuvers following the collision. Both aircraft came down in a wooded area.Cause of air accident (translated from Slovak)- the main cause of an airplane accident was inadequate aircraft management and failure to master piloting techniques by the OM-ODQ commander,- aircraft collision was the immediate cause of an airplane accident.Contributing factors- Mobile phone handling during aircraft piloting,- MTOW exceedance by OM-ODQ, reassessment of capabilities by OM-ODQ commander.20-08-201520-08-201520-08-2015",Parachuting,LNVU ,2015
21-AUG-2015,Eclipse 500,N120EA,UF Equipment,0,Danbury Airp...,https://aviation-safety.net/database/record.php?id=20150821-0,Landing (LDG),Substantial,Late landing  Runway excursion,"An Eclipse EA500, N120EA, sustained substantial damage during a runway overrun while landing at Danbury Municipal Airport (DXR), Connecticut, USA. The pilot and two passengers sustained minor injuries.  The flight originated from Wittman Regional Airport (OSH), Wisconsin, USA, about 1220.According to the pilot, the approach to runway 26 ""required a steeper than normal approach,"" because of trees near the runway. The airplane touched down near the displaced threshold and he applied the brakes to decelerate; however, the ""first pedal push was soft,"" which was ""not unusual."" Then, he continued ""pumping the brakes"" and considered a go-around; however, the remaining runway was too short. The pilot continued to ""pump"" the brakes, about six times; however, he did not think the brakes were operating. The airplane continued off the end of the runway, impacted a berm, and came to rest upright approximately 200 feet beyond the end of the runway.During the accident sequence, the right main landing gear punctured the underside of the right wing, which resulted in substantial damage. In addition, the nose landing gear separated from the airplane.According to data downloaded from the airplanes diagnostic storage unit (DSU), the airplane touched down 1,280 ft beyond the runway threshold, which resulted in 2,408 ft of runway remaining (the runway had a displaced threshold of 737 ft) and that it traveled 2,600 ft before coming to rest about 200 ft past the runway. Comparing DSU data from previous downloaded flights revealed that the airplanes calculated deceleration rate during the accident landing was indicative of braking performance as well as or better than the previous landings. Estimated landing distance calculations revealed that the airplane required about 3,063 ft when crossing the threshold at 50 ft above ground level. However, the airplane touched down with only 2,408 ft of remaining runway, which resulted in the runway overrun.Probable Cause The pilot's failure to attain the proper touchdown point, which resulted in a runway overrun.",Private,NTSB ,2015
26-AUG-2015,Cessna S550 Citation S/II,YV3125,Unknown,0,Charallave-Ó...,https://aviation-safety.net/database/record.php?id=20150826-0,Landing (LDG),Substantial,Runway excursion,"A Cessna S550 Citation SII jet sustained substantial damage in a runway excursion accident at Charallave-Oscar Machado Zuloaga Airport in Venezuela. The aircraft skidded off runway 10 and went down an embankment.It is reported that the first landing attempt was aborted. Following a second approach the aircraft is said to have touched down about half way down the 2000 m (6562 ft) long runway.The aircraft operated on a flight from Aruba-Reina Beatrix Airport (AUA) to Charallave with an en route stop at Barcelona, Venezuela. On board were members of the Los Cadillac's band and Venezuelan actor and singer Arán de las Casas.",Int'l Non Scheduled Passenger,,2015
27-AUG-2015,Cessna 750 Citation X,XA-KYE,Unknown,0,Toluca Airpo...,https://aviation-safety.net/database/record.php?id=20150827-0,Unknown (UNK),Substantial,Runway excursion,"A Cessna 750 Citation X was damaged in a runway excursion accident at Toluca Airport (TLC) in Mexico. The aircraft came to rest on the left hand side of runway 15, about 2700 m from the runway threshold and about 1500 m before the runway end. The aircraft sustained damage to the nose, undercarriage and left hand wing. Both pilots were not injured.It's unclear if the accident occurred during takeoff or landing.",Unknown,,2015
27-AUG-2015,Lockheed CP-140 Aurora,140103,RCAF,0,Greenwood Ca...,https://aviation-safety.net/database/record.php?id=20150827-1,Takeoff (TOF),Substantial,Rejected takeoff Runway excursion,"The CP-140 Aurora was taking off from Greenwood Canadian Forces Base, Nova Scotia, on a transit mission to Iqaluit, Nunavut, in support of Operation Qimmiq. Thunderstorms had recently passed over the airport and the ground surfaces were wet. During the takeoff roll, the crew observed a flock of birds heading towards the runway. Seeing a conflict and concerned about the risk of collision, the aircraft commander directed the pilot flying to abort the takeoff. During the abort procedure, when the pilot flying selected full reverse on all four propellers, both propellers on the left side of the aircraft went into full reverse; however both propellers on the right side of the aircraft continued to produce some forward thrust. The crew was not successful at keeping the aircraft on the runway and it departed off the left side of the runway approximately 1000 feet before the end. The propellers contacted a Runway Distance Marker and a Precision Approach Path Indicator (PAPI) light. The aircraft plowed through the soft earth and the nose gear collapsed, causing the inside propeller on the right side of the aircraft to strike the ground and break away from the engine. All personnel on board exited the aircraft safely and only minor injuries were incurred.CAUSE FACTORSACTIVE CAUSE FACTORS1. The LRPC delayed calling ""Rotate,"" and called ""Malfunction"" after VRO. 2. At approximately 133 KIAS, the LRPFO rapidly retarded the throttles from a high power setting straight into the ground (BETA) range without checking the status of the BETA lights during the movement of the power levers further aft towards ground range/reverse. 3. No. 3 and 4 engines and propellers were not secured using the EHandles when the asymmetric thrust situation occurred. LATENT CAUSE FACTORS4. The PF is not required to monitor or check critical airspeeds above 80 KIAS. 5. The CP140 Takeoff Abort Procedure does not include direction as to what to do when the power levers are moved into the BETA range, and the associated BETA light does not illuminate. 6. The CP140 Takeoff Abort Procedure does not provide direction as to what to do if the AC decides that the fault does not dictate an abort. 7. The CP140 Takeoff Procedure dictates the initiation of the Takeoff Abort Procedure for any malfunction prior to refusal speed, regardless of the severity, and with no consideration to the speed regime. 8. The standing water on the runway caused reverted rubber hydroplaning and was a contributing factor to the aircraft leaving the hard surface. 9. The LRPC was likely mentally fatigued at the time of the accident, which may have adversely affected his decision making during the takeoff.",Military,Canada DFS ,2015
28-AUG-2015,Viking Air DHC-6 Twin Otter 400,JA201D,First Flying,0,Aguni Airpor...,https://aviation-safety.net/database/record.php?id=20150828-0,Landing (LDG),Substantial,Runway excursion,"A Viking Air DHC-6-400 operated by First Flying (Dai-ichi Koku)  suffered substantial damage in a runway excursion accident on landing. The Twin Otter took off from Naha, Okinawa at 0838 hours with 14 people onboard. The copilot was Pilot Flying. After a short flight, an approach was flown to runway 19 at Aguni Airport. After touchdown it veered to the right, went off the runway and impacted a fence and trees. The right main landing gear was twisted, and the nose section of the fuselage and the propeller of the No.2 engine were also damaged, but there was no fire. Eleven occupants were injured. It appeared that the nosewheel centering lock had disengaged during the flight, which went unnoticed by the crew.This particular plane was delivered to DAK on 31 March 2015, and was in service on 2 August 2015. DAK has another DHC-6-400, JA202D. Aguni Airport has a single runway 01/19 with 800 m x 25 m dimension. The weather data of Aguni Airport at the time of the accident by AMeDAS data 0900JST, wind southeast 3.5 m/s (7 kt), no precipitation, temperature 27.3 degree-Celsius.Probable CausesIt is highly probable that this accident occurred because, when the Aircraft landed, the PF could not properly control the aircraft that had started to deflect after touchdown, as a result of which it departed from the side of the runway and collided with the Perimeter Fence, and the aircraft was damaged.It is probable that the Aircraft started to deflect after touchdown because the PF forgot the checklist and the PIC as PM did not properly monitor or did not perform the necessary pointed out, as a result of which the Aircraft touched down with the nose wheel deflected to the right.It is somewhat likely that the PF could not properly control the Aircraft that had started to deflect after touchdown because he did not have sufficient knowledge concerning the aircraft system of the Aircraft, as a result of which he could not fully understand the situation when the deflection started. It is somewhat likely that the inadequate response of the PIC in the event of an unforeseen situation contributed to this.It is probable that PF had insufficient knowledge and could not fully understand the situation when the deflection started, because the Company had not properly confirmed the effectiveness of ground school training that should be held prior to route training and training on the establishment of knowledge.28-08-201528-08-201528-08-2015",Domestic Scheduled Passenger,JTSB ,2015
28-AUG-2015,Boeing 737-3Q8 (BDSF),PK-BBY,Cardig Air,0,Wamena Airpo...,https://aviation-safety.net/database/record.php?id=20150828-1,Landing (LDG),Substantial,Windshear/downdraft Heavy landing Runway mishap,"The Boeing 737-300 Freighter, registration PK-BBY, operated on a scheduled cargo flight. At 1234 the aircraft departed from Jayapura-Sentani Airport (DJJ), bound for to Wamena Airport (WMX).On board this flight were two pilots, and 14,610 kg of cargo. The captain was as pilot flying while the first officer who was under line training acted as pilot monitoring. At 1537 hours, when the aircraft approaching PASS VALLEY, the Wamena Tower controller provided information that the runway in use was runway 15 and the wind was 150/18knots, QNH 1003 and temperature 23°C. At 1546, the pilot reported position on final for runway 15 and Wamena Tower controller provided landing clearance with additional information of wind 150/15 knots and QNH 1003.One minute later, the aircraft touched down about 35 meters before the beginning of runway 15 with a vertical acceleration of 3.68 G and stopped at about 1500 meters from the runway threshold. The left main landing gear collapsed and the left engine scratched the runway surface.No one was injured on this occurrence.Contributing FactorThe large thrust reduction during the windshear resulted in rapid descend and the aircraft touched down with 3.683 G then collapsed the landing gear that had strength degradation.28-08-201528-08-201528-08-2015",Cargo,NTSC Indonesia ,2015
28-AUG-2015,Dassault Falcon 2000,N187AA,Anton Air,0,Las Vegas-Mc...,https://aviation-safety.net/database/record.php?id=20150828-2,Standing (STD),Minor,Ground collision Damaged on the ground,"A Dassault Falcon 2000, N187AA, and a Beechcraft C90 King Air, N959MC, sustained damage during a ground collision at Las Vegas-McCarran International Airport, Nevada. The C90 sustained substantial damage, and the Falcon 2000 sustained minor damage.The C90 airline transport pilot, and the two airline transport pilots and two passengers on the Falcon 2000 were not injured. Visual meteorological conditions prevailed.According to the pilot of the Falcon 2000, subsequent to the preflight and the before takeoff checklist being completed, and with the parking brake set to ON, a ground handling crewman pulled the wheel chocks from the landing gear. The pilot reported that as soon as the chocks were removed, the airplane starting rolling across the ramp. The pilot stated that he immediately applied the toe brakes, however, they were not effective in stopping the airplane. He then applied the emergency braking system, but that too was ineffective in slowing or stopping the airplane. The pilot added that as the Falcon continued across the ramp, its right wing went over and scraped the top of the left wing of a parked Falcon 50 before colliding with the Beech C90 in a near head on collision with its radome.PROBABLE CAUSE ""The jet flight crew's use of an inappropriate checklist to resolve a parking brake hydraulic system pressure anomaly, which resulted in the airplane rolling down a slight incline and colliding with a parked twin-engine turboprop airplane. Contributing to the accident was the defective parking brake check valve.""",Executive,,2015
29-AUG-2015,Dornier 228-212,NAF030,Nigerian AF,7,Kaduna,https://aviation-safety.net/database/record.php?id=20150829-0,En route (ENR),Damaged beyond repair,,"The Nigerian Air Force Dornier 228 aircraft crashed into a house at the Ribadu Cantonment in Kaduna, Nigeria. A fire erupted, destroying the house and the aircraft.",Military,,2015
31-AUG-2015,Antonov An-30D,,Lukiaviatrans,0,Keperveyem A...,https://aviation-safety.net/database/record.php?id=20150831-0,Landing (LDG),Substantial,Landing gear collapse Runway mishap,"An Antonov 30D aircraft was damaged in a landing accident at Keperveem Airport in Russia.Upon landing the nose landing gear failed, causing the forward fuselage to contact the runway surface. A localized fire erupted and was put out.",Unknown,,2015
01-SEP-2015,Beech 300 Super King Air,N300PP,Handel- en Exploitatiemij. Ruygrok,0,Rotterdam/Th...,https://aviation-safety.net/database/record.php?id=20150901-0,Landing (LDG),Substantial,Gear-up landing Runway mishap,A Beechcraft 300 Super King Air was damaged in a landing accident at Rotterdam/The Hague Airport (RTM) in Netherlands.The aircraft landed gear-up on runway 24 and slid 625 meters before coming to rest. All propeller blades were damaged in the accident.The captain stated that he had forgotten to lower the undercarriage.01-09-2015,Unknown,,2015
01-SEP-2015,Swearingen SA227-DC Metro 23,VH-HPE,Toll Aviation,0,Thangool Air...,https://aviation-safety.net/database/record.php?id=20150901-1,Landing (LDG),Substantial,Collision with person or animal on the ground Runway mishap,"The pilot of a Swearingen SA227-DC Metro 23 aircraft, registered VH-HPE, was conducting a scheduled freight run from Brisbane, to Emerald, via Thangool Airport, Queensland.Approaching Thangool, the pilot conducted a Distance Measuring Equipment (DME) arrival with a left circuit onto runway 28, touching down at 0545 hours, just before first light.Shortly after touchdown, and with all landing gear wheels in contact with the ground, the pilot saw the glimpse of an animal flash from left to right in front of the aircraft. At the time, the aircraft was travelling at about 80 kt. The right propeller then struck the animal, later identified as a small kangaroo. The pilot reported that following the large bang associated with the propeller striking the animal, there was a lot of vibration throughout the aircraft, but no abnormal engine indications.The pilot continued the landing roll, and used ground idle rather than reverse thrust to slow the aircraft.The pilot taxied the aircraft to the parking bay, shut down the engines, then carried out an external inspection and found that one of the propeller blades attached to the right engine was twisted. The pilot was not injured.Following the incident, the operator replaced the right engine and propeller and arranged for the original engine to be further assessed by engineering staff.The next day, a Beechcraft B200 Super King Air operated by the Royal Flying Doctor Service was involved in a similar accident when it struck a kangaroo on landing at Thangool.",Cargo,ATSB ,2015
02-SEP-2015,Beech B200 King Air,VH-FDB,Royal Flying Doctor Service,0,Barcaldine A...,https://aviation-safety.net/database/record.php?id=20150902-0,Landing (LDG),Substantial,Collision with person or animal on the ground Runway mishap,"During the landing roll, the aircraft struck a kangaroo, resulting in substantial damage.The Beech B200 aircraft, VH-FDB, was on a medical retrieval mission from Townsville to Barcaldine Airport, Queensland. As the aircraft touched down in the early hours of the morning, at about 0141 local time, the pilot caught a last moment glimpse of theanimal before the aircraft struck a small kangaroo. The pilot reported that engine indications were normal, with no noticeable vibration as they completed the landing roll and then shut down the left engine while on the runway. They then taxied clear of the runway using the remaining engine. The strike caused damage to the three propeller blades attached to the left engine and disabled the aircraft.The aircraft was ferried to Rockhampton Airport, QLD (ROK) on September 8. A test flight was performed at Rockhampton on September 11. The aircraft was back in service shortly after that.",Ambulance,ATSB ,2015
03-SEP-2015,Cessna 550B Citation Bravo,OE-GLG,Jet24,0,Wien-Schwech...,https://aviation-safety.net/database/record.php?id=20150903-0,Landing (LDG),Substantial,Gear-up landing Runway excursion,"The Cessna 550B Citation Bravo departed Salzburg, Austria with destination Vienna. As soon as the aircraft had been prepared for landing on runway 34, problems arose with the left main gear.The green light for the left main gear did not illuminate. Both pilots agreed that they should continue to land. A few minutes later, when the aircraft landed on runway 34, the pilot flying noted that the left wing of the aircraft was moving downward. He tried to steer straight ahead, but without success. The left wing of the aircraft touched the runway 34 with its outer underside. The pilot could not prevent the deviation of the aircraft to the left. The aircraft came to a halt in the grassy area between runway 34, taxiway D and taxiway B5 and B6. All passengers as well as the entire flight crew could leave the aircraft uninjured.Probable causes (translated from German)- A metallic foreign body between valve seat and ball of the spring loaded ball check valve in the undercarriage servo valve of the left main landing gear caused the check valve not to close as intended and hydraulic fluid was directed directly to the landing gear cylinder without moving the piston rod. Due to the fact that the piston rod of the undercarriage servo valve did not move as intended, the mechanical unlocking hook of the left undercarriage was also not controlled - the landing gear was therefore not deployed.Contributing factors- The possibility to abort the approach, to Go Around and fly a holding to carry out troubleshooting, as described in the operations manual of the aviation company as well as in the ""Emergency / Abnormal Procedures"" manual of the aircraft manufacturer, was not used.- The emergency extension system of the landing gear was not used.",Int'l Non Scheduled Passenger,UUS Austria ,2015
05-SEP-2015,BAe-125-700A,6V-AIM,Senegalair,7,"near Dakar, Senegal",https://aviation-safety.net/database/record.php?id=20150905-0,En route (ENR),Missing,,"A BAe-125 jet, 6V-AIM, operated on a medical transportation flight from Ouagadougou, Burkina Faso, to Dakar, Senegal. On board were a French patient and two crew members as well as a mechanic, a doctor and two nurses. The aircraft departed Ouagadougou at 1636 hours local time and climbed to the cruising altitude of FL340. The flight contacted the controller at Bamako Center at 1713, asking if FL380 was available because of the presence of clouds ahead. The controller then cleared the flight to FL380. After negotiating several other options to avoid severe turbulence, the crew decided to remain at FL340. At 1800 the flight was allowed to deviate 10 NM from the route to avoid an area of bad weather. Last radio contact with the flight was at 1804. At that time the aircraft was proceeding westward on Airway UA601 at a cleared altitude of FL340.At the same time Ceiba International flight CEL71 was heading eastward on Airway UA601 at a cleared altitude of FL350.The Boeing 737-8FB, registration 3C-LLY, had departed Dakar at 1728 hours and was en route to Cotonou, Benin and Malabo, Ecuatorial Guinea. The aircraft crossed paths with the BAe-125 at 1812, between points DEMOL and GATIL. At 1815 CEL71 contacted the controller at Dakar Center, stating they had observed descending traffic from the opposite direction, passing their altitude just behind them. Initially the crew referred to the event as a 'near miss collision'. The Dakar Center controller then attempted to contact the BAe-125, but there was no response.At 1816 CEL71 contacted  Dakar Center again, stating that the traffic in question likely touched their wing. The crew reported that they did not have any control issues. It was decided not land at Cotonou and continue to the final destination Malabo. After landing it appeared that the top part of the right hand winglet, measuring one metre, had broken off. Despite several attempts, no contact was made with the BAe-125. At 1822 the BAe-125 appeared on radar at Dakar, showing an altitude of FL350. The aircraft continued on the planned flight track. It passed Dakar, heading over sea. At 1907 the aircraft began to descend. At FL330 the aircraft turned right and immediately left, passing FL126 level before it disappeared from radar about 59 NM from Dakar. The aircraft was not found.The investigation learned that 6V-AIM had a history of level bust incidents in the months leading up to the accident. On three separate flights the aircraft had been flown in RVSM airspace at altitudes for which it had not been cleared. In one case opposite traffic, an Arik Air Boeing 737, had to be given descent instructions in order to avoid a lack of clearance.Additionally, on the day of the accident, the flight crew received instructions to correct their altitude on two occasions.PROBABLE CAUSE (transated from French)The collision is due to 6V-AIM's non-compliance with its flight level. He ended up at FL 350 which was the level assigned to 3C-LLY while at 18H01'11"" he had confirmed to CCR2 maintain the 340.The 3C-LLY captain claimed to have seen it descending towards them.Only the flight recorders could have helped to determine how such a situation could have occurred; Unfortunately they disappeared with the plane.The lack of altimetry may have contributed to the collision in flight.CONTRIBUTING FACTORS1. Altimetry problemsThese problems may have contributed to the collision. The indications of the two primary altimeters were different; The altimeter indications of the pilot in charge of communications and the altitude data transmitted by the transponder were different by about one thousand (1000) feet.On 23/07/2015, the aircraft was detected at level 310 instead of the 320 assigned by the ATC controller and indicated by the altimeter.On 31/08/15, 6V-AIM was coordinated by Roberts SESEL Point at 20H55 and FL 360. Once in radar contact, it was detected at FL 350 without any revision or authorization. After being questioned, he started to climb.On 05/09/2015, on the outward flight (DKR - OUA), the aircraft had triggered two CLAM alarms- Assigned flight level 330 and level acquired by autopilot 311- Assigned flight level 330 and level acquired by autopilot 3332. Non-compliance with procedures* The provisions of the Senegalair operations manual prohibit penetration into RVSM space as soon as there is a 200-foot gap between the two primary altimeters (at flight preparation, the maximum deviation is 75 feet).They require the captain to provide the aircraft technical report at the end of each flight and that the document be operated immediately by maintenance and operations and archived.- After the significant incident of 23/07/2015, the technical report was not checked (altimetric problems).- The aircraft was maintained in operation without technical intervention and without restrictions until 05/09/2015.- The technician authorized to sign the Approval for Release to Service and to follow up and maintain airworthiness left the company on 15/08/2015. From that date, the aircraft should not have been put back into flight.* The plane returned from RABAT on 08 August 2015 and remained on the ground until 29 August 2015.The significant incident report was sent on August 27, 2015.The rigorous application of the provisions provided for this type of situation would have prevented the aircraft with its altimetry problems from making the series of flights leading to the fateful date of 05 September 2015.This non-compliance with the procedures has been noted in other sectors of activity cited below- in the renewal of the Certificate of Airworthiness (the CofA of 6V-AIM was renewed when there was still a level 1 anomaly);- the validation of the co-pilot's license (The license was validated when he did not have the physical and mental fitness certificate required by the procedures of the PEL Inspector's Manual. The authentication of the Algerian basic license was not carried out in accordance with RAS 01 and the PEL Inspector's Manual).",Ambulance,BEA Senegal ,2015
05-SEP-2015,Boeing 737-8FB (WL),3C-LLY,Ceiba International,0,near Tambacounda,https://aviation-safety.net/database/record.php?id=20150905-1,En route (ENR),Minor,Mid air collision Forced landing on runway,"A BAe-125 jet, 6V-AIM, operated on a medical transportation flight from Ouagadougou, Burkina Faso, to Dakar, Senegal. On board were a French patient and two crew members as well as a mechanic, a doctor and two nurses. The aircraft departed Ouagadougou at 1636 hours local time and climbed to the cruising altitude of FL340. The flight contacted the controller at Bamako Center at 1713, asking if FL380 was available because of the presence of clouds ahead. The controller then cleared the flight to FL380. After negotiating several other options to avoid severe turbulence, the crew decided to remain at FL340. At 1800 the flight was allowed to deviate 10 NM from the route to avoid an area of bad weather. Last radio contact with the flight was at 1804. At that time the aircraft was proceeding westward on Airway UA601 at a cleared altitude of FL340.At the same time Ceiba International flight CEL71 was heading eastward on Airway UA601 at a cleared altitude of FL350.The Boeing 737-8FB, registration 3C-LLY, had departed Dakar at 1728 hours and was en route to Cotonou, Benin and Malabo, Ecuatorial Guinea. The aircraft crossed paths with the BAe-125 at 1812, between points DEMOL and GATIL. At 1815 CEL71 contacted the controller at Dakar Center, stating they had observed descending traffic from the opposite direction, passing their altitude just behind them. Initially the crew referred to the event as a 'near miss collision'. The Dakar Center controller then attempted to contact the BAe-125, but there was no response.At 1816 CEL71 contacted  Dakar Center again, stating that the traffic in question likely touched their wing. The crew reported that they did not have any control issues. It was decided not land at Cotonou and continue to the final destination Malabo. After landing it appeared that the top part of the right hand winglet, measuring one metre, had broken off. Despite several attempts, no contact was made with the BAe-125. At 1822 the BAe-125 appeared on radar at Dakar, showing an altitude of FL350. The aircraft continued on the planned flight track. It passed Dakar, heading over sea. At 1907 the aircraft began to descend. At FL330 the aircraft turned right and immediately left, passing FL126 level before it disappeared from radar about 59 NM from Dakar. The aircraft was not found.The investigation learned that 6V-AIM had a history of level bust incidents in the months leading up to the accident. On three separate flights the aircraft had been flown in RVSM airspace at altitudes for which it had not been cleared. In one case opposite traffic, an Arik Air Boeing 737, had to be given descent instructions in order to avoid a lack of clearance.Additionally, on the day of the accident, the flight crew received instructions to correct their altitude on two occasions.PROBABLE CAUSE (transated from French)The collision is due to 6V-AIM's non-compliance with its flight level. He ended up at FL 350 which was the level assigned to 3C-LLY while at 18H01'11"" he had confirmed to CCR2 maintain the 340.The 3C-LLY captain claimed to have seen it descending towards them.Only the flight recorders could have helped to determine how such a situation could have occurred; Unfortunately they disappeared with the plane.The lack of altimetry may have contributed to the collision in flight.CONTRIBUTING FACTORS1. Altimetry problemsThese problems may have contributed to the collision. The indications of the two primary altimeters were different; The altimeter indications of the pilot in charge of communications and the altitude data transmitted by the transponder were different by about one thousand (1000) feet.On 23/07/2015, the aircraft was detected at level 310 instead of the 320 assigned by the ATC controller and indicated by the altimeter.On 31/08/15, 6V-AIM was coordinated by Roberts SESEL Point at 20H55 and FL 360. Once in radar contact, it was detected at FL 350 without any revision or authorization. After being questioned, he started to climb.On 05/09/2015, on the outward flight (DKR - OUA), the aircraft had triggered two CLAM alarms- Assigned flight level 330 and level acquired by autopilot 311- Assigned flight level 330 and level acquired by autopilot 3332. Non-compliance with procedures* The provisions of the Senegalair operations manual prohibit penetration into RVSM space as soon as there is a 200-foot gap between the two primary altimeters (at flight preparation, the maximum deviation is 75 feet).They require the captain to provide the aircraft technical report at the end of each flight and that the document be operated immediately by maintenance and operations and archived.- After the significant incident of 23/07/2015, the technical report was not checked (altimetric problems).- The aircraft was maintained in operation without technical intervention and without restrictions until 05/09/2015.- The technician authorized to sign the Approval for Release to Service and to follow up and maintain airworthiness left the company on 15/08/2015. From that date, the aircraft should not have been put back into flight.* The plane returned from RABAT on 08 August 2015 and remained on the ground until 29 August 2015.The significant incident report was sent on August 27, 2015.The rigorous application of the provisions provided for this type of situation would have prevented the aircraft with its altimetry problems from making the series of flights leading to the fateful date of 05 September 2015.This non-compliance with the procedures has been noted in other sectors of activity cited below- in the renewal of the Certificate of Airworthiness (the CofA of 6V-AIM was renewed when there was still a level 1 anomaly);- the validation of the co-pilot's license (The license was validated when he did not have the physical and mental fitness certificate required by the procedures of the PEL Inspector's Manual. The authentication of the Algerian basic license was not carried out in accordance with RAS 01 and the PEL Inspector's Manual).",International Scheduled Passenger,BEA Senegal ,2015
06-SEP-2015,DHC-6 Twin Otter 200,N181CS,Rampart Aviation,0,Louisburg-No...,https://aviation-safety.net/database/record.php?id=20150906-0,Takeoff (TOF),Substantial,Loss of control,"A DHC-6 Twin Otter, N181CS, sustained substantial damage during landing at Louisburg-North Raleigh Airport, North Carolina. The pilot and two passengers sustained serious injuries. Day visual meteorological conditions prevailed and no flight plan was filed for the local business flight. According to the pilot, the airplane was on the final leg of the traffic pattern when he reduced the power levers in order to descend further for landing, and he noticed that the right engine sounded like ""the [propeller] was heading towards beta."" The pilot increased the engine power and the sound ""went away."" Closer to the runway, he decreased engine power and the noise was heard again, the airplane yawed to the right, and he applied left aileron and rudder inputs in order to remain on the runway centerline. Over the runway, the pilot reduced the engine power to idle and the airplane ""pushed hard to the right."" Then, the pilot applied full power in an attempt to perform a go-around maneuver; however, the airplane yawed about 30 degrees off the runway centerline, the airplane touched down in the grass, and impacted trees prior to coming to rest.During the accident sequence, the wings and fuselage were substantially damaged.A postaccident examination of the maintenance logs indicated that an overhauled propeller was installed on the right engine and a test flight was performed on September 4, 2015, which was 8.7 flight hours prior to the accident.PROBABLE CAUSE "" The propeller's movement to the beta position during landing for reasons that could not be determined during postaccident examination and testing, which resulted in an attempted go-around and subsequent loss of airplane control.""06-09-201506-09-201506-09-201506-09-2015",Executive,NTSB ,2015
